primary,descriptor2,descriptor3,노트,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기,normalized_tags,계열,예시_향수,hex_palette_from_colors
Herbal,Sage,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sage, woody",Green/Herbal,,
Herbal,Sage,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sage, woody",Green/Herbal,,
Herbal,Sage,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sage, woody",Green/Herbal,,
Herbal,Sage,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sage, woody",Green/Herbal,,
Herbal,Aromatic,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, aromatic, green",Green/Herbal,,
Floral,Herbal,Lavender,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, herbal, lavender",,,
Herbal,Floral,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, minty",Green/Herbal,,
Herbal,Floral,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, minty",Green/Herbal,,
Herbal,Floral,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, minty",Green/Herbal,,
Herbal,Floral,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, minty",Green/Herbal,,
Herbal,Floral,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, minty",Green/Herbal,,
Herbal,Floral,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, minty",Green/Herbal,,
Citrus,Sweet,Orange,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+오렌지)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, sweet, orange",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Sweet,Orange,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+오렌지)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, sweet, orange",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Sweet,Orange,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+오렌지)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, sweet, orange",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Herbal,Minty,Citrus,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, minty, citrus",Green/Herbal,,
Spicy,Anisic,Herbal,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, anisic, herbal",,,
Woody,Earthy,Nutty,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, nutty",,,
Woody,Earthy,Nutty,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, nutty",,,
Woody,Earthy,Nutty,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, nutty",,,
Woody,Earthy,Nutty,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, nutty",,,
Woody,Earthy,Nutty,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, nutty",,,
Herbal,Pine,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, woody",Green/Herbal,,
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Aromatic,Pine,Woody,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, pine, woody",Green/Herbal,,
Aromatic,Pine,Woody,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, pine, woody",Green/Herbal,,
Aromatic,Pine,Woody,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, pine, woody",Green/Herbal,,
Amber,Sweet,Mushroom,Amber,"따뜻함 호박색, 앰버/골드","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, sweet, mushroom",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Amber,Sweet,Mushroom,Amber,"따뜻함 호박색, 앰버/골드","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, sweet, mushroom",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Amber,Sweet,Mushroom,Amber,"따뜻함 호박색, 앰버/골드","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, sweet, mushroom",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Amber,Sweet,Mushroom,Amber,"따뜻함 호박색, 앰버/골드","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, sweet, mushroom",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Balsamic,Vanilla,Sweet,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, vanilla, sweet",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Woody,Smoky,Burnt,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, smoky, burnt",,,
Floral,Carnation,Spicy,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, carnation, spicy",,,
Floral,Lavender,Hay,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, hay",,,
Floral,Lavender,Hay,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, hay",,,
Floral,Lavender,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, herbal",,,
Floral,Lavender,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, herbal",,,
Floral,Lavender,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, herbal",,,
Floral,Lavender,Hay,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, hay",,,
Floral,Lavender,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, herbal",,,
Floral,Lavender,Hay,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, hay",,,
Floral,Lavender,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, herbal",,,
Floral,Lavender,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, herbal",,,
Floral,Lavender,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, herbal",,,
Floral,Lavender,Hay,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, lavender, hay",,,
Spicy,Saffron,Dry,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, saffron, dry",,,
Spicy,Saffron,Dry,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, saffron, dry",,,
Spicy,Saffron,Herbal,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, saffron, herbal",,,
Spicy,Sweet,Woody,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, sweet, woody",,,
Herbal,Sage,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sage, green",Green/Herbal,,
Herbal,Sage,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sage, green",Green/Herbal,,
Floral,Woody,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, woody, herbal",,,
Floral,Woody,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, woody, herbal",,,
Floral,Woody,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, woody, herbal",,,
Floral,Woody,Herbal,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, woody, herbal",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Green,Neroli,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, neroli",,,
Floral,Green,Narcissus,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, narcissus",,,
Spicy,Hay,Tobacco,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, hay, tobacco",,,
Floral,Jasmin,Honey,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, jasmin, honey",,,
Floral,Hay,Honey,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, hay, honey",,,
Floral,Fresh,Spicy,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fresh, spicy",,,
Woody,Sweet,Milky,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sweet, milky",,,
Woody,Sweet,Milky,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sweet, milky",,,
Woody,Sweet,Milky,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sweet, milky",,,
Citrus,Fresh,Spicy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, spicy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Fresh,Spicy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, spicy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Fresh,Spicy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, spicy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Fresh,Spicy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, spicy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Fresh,Spicy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, spicy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Fresh,Spicy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, spicy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Fresh,Spicy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, spicy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Green,Herbal,Vegetable,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, vegetable",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Herbal,Vegetable,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, vegetable",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Herbal,Vegetable,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, vegetable",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Herbal,Vegetable,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, vegetable",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Herbal,Vegetable,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, vegetable",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Herbal,Vegetable,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, vegetable",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Herbal,Vegetable,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, vegetable",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Herbal,Green,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, green, woody",Green/Herbal,,
Floral,Honeysuckle,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, honeysuckle, sweet",,,
Aromatic,Woody,Pine,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, woody, pine",Green/Herbal,,
Aromatic,Woody,Pine,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, woody, pine",Green/Herbal,,
Aromatic,Woody,Pine,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, woody, pine",Green/Herbal,,
Aromatic,Woody,Pine,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, woody, pine",Green/Herbal,,
Aromatic,Woody,Pine,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, woody, pine",Green/Herbal,,
Aromatic,Woody,Pine,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, woody, pine",Green/Herbal,,
Balsamic,Fresh,Woody,Balsamic,"호박색, 갈색, 황갈색, 앰버","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, fresh, woody",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Woody,Fresh,Resinous,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, resinous",,,
Woody,Sandalwood,Creamy,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sandalwood, creamy",,,
Woody,Sandalwood,Creamy,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sandalwood, creamy",,,
Spicy,Peppery,Woody,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, peppery, woody",,,
Spicy,Peppery,Woody,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, peppery, woody",,,
Spicy,Fresh,Camphoraceous,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, fresh, camphoraceous",,,
Spicy,Fresh,Camphoraceous,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, fresh, camphoraceous",,,
Spicy,Green,Peppery,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, green, peppery",,,
Woody,Smoky,Dry,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, smoky, dry",,,
Citrus,Fresh,Sharp,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, sharp",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Floral,Neroli,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, neroli, sweet",,,
Floral,Neroli,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, neroli, sweet",,,
Floral,Neroli,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, neroli, sweet",,,
Floral,Neroli,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, neroli, sweet",,,
Woody,Warm,Powdery,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, warm, powdery",,,
Woody,Warm,Powdery,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, warm, powdery",,,
Woody,Warm,Powdery,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, warm, powdery",,,
Woody,Warm,Powdery,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, warm, powdery",,,
Woody,Warm,Powdery,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, warm, powdery",,,
Fruity,Fermented,Ethereal,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, fermented, ethereal",,,
Woody,Smoky,Burnt,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, smoky, burnt",,,
Herbal,Hay,Sweet,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, hay, sweet",Green/Herbal,,
Herbal,Hay,Sweet,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, hay, sweet",Green/Herbal,,
Amber,Sweet,Mossy,Amber,"따뜻함 호박색, 앰버/골드","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, sweet, mossy",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Gourmand,Sweet,Coconut,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, sweet, coconut",,,
